,,Date,latitude,longitude,mag
df_EQ Data.csv,135,7861.0,19.226,-155.439333333333,3.49
df_EQ Data.csv,136,7858.0,19.3163333333333,-155.22,3.7
df_EQ Data.csv,137,7851.0,19.1898333333333,-155.49,3.51
df_EQ Data.csv,138,7848.0,18.8645,-155.235833333333,4.02
df_EQ Data.csv,139,7846.0,19.2545,-155.397833333333,3.41
df_EQ Data.csv,140,7842.0,19.2038333333333,-155.455333333333,2.19
df_EQ Data.csv,141,7838.0,19.3075,-155.215166666667,4.2
df_EQ Data.csv,142,7838.0,19.3055,-155.215,3.41
df_EQ Data.csv,143,7838.0,19.3045,-155.215166666667,3.63
df_EQ Data.csv,144,7836.0,19.2141666666667,-155.416166666667,3.21
df_EQ Data.csv,145,7834.0,19.2233333333333,-155.511166666667,3.2
df_EQ Data.csv,146,7823.0,19.1808333333333,-155.474666666667,2.89
df_EQ Data.csv,147,7811.0,19.758,-156.823,3.55
df_EQ Data.csv,148,7811.0,19.7785,-156.8165,3.43
df_EQ Data.csv,149,7806.0,19.2065,-155.464166666667,2.97
df_EQ Data.csv,150,7796.0,19.2185,-155.436333333333,3.13
df_EQ Data.csv,151,7796.0,19.2486666666667,-155.395166666667,2.96
df_EQ Data.csv,152,7788.0,19.2378333333333,-155.5135,4.27
df_EQ Data.csv,153,7788.0,19.2471666666667,-155.5095,3.9
df_EQ Data.csv,154,7786.0,19.4033333333333,-155.624,3.12
df_EQ Data.csv,155,7779.0,19.235,-155.404333333333,2.94
df_EQ Data.csv,156,7773.0,19.4833333333333,-155.428166666667,3.51
df_EQ Data.csv,157,7772.0,19.172,-155.475166666667,3.22
df_EQ Data.csv,158,7770.0,19.3325,-155.202166666667,4.07
df_EQ Data.csv,159,7767.0,19.1436666666667,-155.439,1.89
df_EQ Data.csv,160,7766.0,19.346,-155.415833333333,4.23
df_EQ Data.csv,161,7761.0,19.4663333333333,-155.5945,3.24
df_EQ Data.csv,162,7748.0,19.8415,-156.724166666667,3.8
df_EQ Data.csv,163,7746.0,19.2375,-155.5035,3.03
df_EQ Data.csv,164,7738.0,19.175,-155.477666666667,3.06
df_EQ Data.csv,165,7728.0,19.2096666666667,-155.414333333333,3.07
df_EQ Data.csv,166,7727.0,19.3523333333333,-155.079666666667,4.05
