,,Date,latitude,longitude,mag
df_2011-2018-DYFI.csv,144,736896.0,19.4145,-155.278,3.43
df_2011-2018-DYFI.csv,145,736896.0,19.4165,-155.28,3.46
df_2011-2018-DYFI.csv,146,736896.0,19.4116667,-155.263,3.09
df_2011-2018-DYFI.csv,147,736896.0,19.4111667,-155.2738333,3.55
df_2011-2018-DYFI.csv,148,736896.0,19.4091667,-155.2691667,3.39
df_2011-2018-DYFI.csv,149,736896.0,19.4125,-155.2616667,3.1
df_2011-2018-DYFI.csv,150,736896.0,19.4105,-155.2818333,2.37
df_2011-2018-DYFI.csv,151,736896.0,19.4135,-155.266,3.34
df_2011-2018-DYFI.csv,152,736896.0,19.3976667,-155.2793333,3.55
df_2011-2018-DYFI.csv,153,736896.0,19.4078333,-155.2865,3.16
df_2011-2018-DYFI.csv,154,736896.0,19.4166667,-155.2768333,3.51
df_2011-2018-DYFI.csv,155,736896.0,19.3973333,-155.2761667,3.31
df_2011-2018-DYFI.csv,156,736896.0,19.4073333,-155.2855,3.12
df_2011-2018-DYFI.csv,157,736896.0,19.4061667,-155.2886667,2.48
df_2011-2018-DYFI.csv,158,736895.0,19.4163333,-155.2778333,3.39
df_2011-2018-DYFI.csv,159,736895.0,19.4078333,-155.263,2.3
df_2011-2018-DYFI.csv,160,736895.0,19.4121667,-155.2645,3.26
df_2011-2018-DYFI.csv,161,736895.0,19.4103333,-155.2816667,5.3
df_2011-2018-DYFI.csv,162,736895.0,19.4131667,-155.266,3.65
df_2011-2018-DYFI.csv,163,736895.0,19.3961667,-155.2733333,3.03
df_2011-2018-DYFI.csv,164,736894.0,19.4106667,-155.2818333,3.55
df_2011-2018-DYFI.csv,165,736894.0,19.4155,-155.2748333,3.64
df_2011-2018-DYFI.csv,166,736894.0,19.4126667,-155.2608333,3.04
df_2011-2018-DYFI.csv,167,736894.0,19.4175,-155.267,3.01
df_2011-2018-DYFI.csv,168,736894.0,19.4021667,-155.2886667,3.65
df_2011-2018-DYFI.csv,169,736894.0,19.4001667,-155.2786667,3.3
df_2011-2018-DYFI.csv,170,736894.0,19.3998333,-155.27,2.99
df_2011-2018-DYFI.csv,171,736894.0,19.4081667,-155.278,3.35
df_2011-2018-DYFI.csv,172,736894.0,19.4131667,-155.2616667,3.19
df_2011-2018-DYFI.csv,173,736894.0,19.3996667,-155.268,3.38
df_2011-2018-DYFI.csv,174,736894.0,19.4153333,-155.276,3.56
df_2011-2018-DYFI.csv,175,736894.0,19.4101667,-155.2645,0.89
df_2011-2018-DYFI.csv,176,736894.0,19.416,-155.2635,3.44
df_2011-2018-DYFI.csv,177,736894.0,19.4128333,-155.2636667,3.39
df_2011-2018-DYFI.csv,178,736894.0,19.4151667,-155.264,3.82
df_2011-2018-DYFI.csv,179,736894.0,19.3978333,-155.2678333,3.27
