,,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
df_EQ Data.csv,85,8017.0,19.162833333333303,-155.486666666667,36.96,3.15,ml,55.0,111,,0.12,hv,hv72807892,2022-01-29T22:55:24.040Z,"4 km S of P?hala, Hawaii",earthquake,0.44,0.5,0.16536025473391,41,reviewed,hv,hv
df_EQ Data.csv,86,8016.0,19.2281666666667,-155.418,32.9,3.52,ml,55.0,132,,0.12,hv,hv72806527,2022-01-29T22:55:16.040Z,"6 km ENE of P?hala, Hawaii",earthquake,0.51,0.58,0.207422310175513,44,reviewed,hv,hv
df_EQ Data.csv,87,8016.0,19.2015,-155.414333333333,32.81,3.32,ml,56.0,153,,0.12,hv,hv72806007,2022-08-06T19:01:35.057Z,"6 km E of P?hala, Hawaii",earthquake,0.49,0.53,0.174735753944578,42,reviewed,hv,hv
df_EQ Data.csv,88,8011.0,19.2006666666667,-155.416166666667,34.11,3.68,ml,54.0,152,,0.11,hv,hv72798362,2022-01-22T20:51:57.040Z,"6 km E of P?hala, Hawaii",earthquake,0.52,0.6,0.165783028693493,42,reviewed,hv,hv
df_EQ Data.csv,89,8011.0,19.159833333333303,-155.474166666667,33.97,3.83,ml,59.0,114,,0.1,hv,hv72797862,2022-01-22T20:51:56.040Z,"4 km S of P?hala, Hawaii",earthquake,0.47,0.6,0.163383113212464,39,reviewed,hv,hv
df_EQ Data.csv,90,7998.0,19.1605,-155.4905,35.13,3.37,ml,55.0,118,,0.11,hv,hv72780797,2022-08-08T06:20:27.274Z,"4 km SSW of P?hala, Hawaii",earthquake,0.43,0.53,0.190763122196864,39,reviewed,hv,hv
df_EQ Data.csv,91,7997.0,19.167666666666697,-155.474666666667,31.29,3.24,ml,55.0,86,,0.11,hv,hv72779907,2022-01-14T17:58:54.040Z,"3 km S of P?hala, Hawaii",earthquake,0.41,0.54,0.208048002547264,42,reviewed,hv,hv
df_EQ Data.csv,92,7996.0,19.2075,-155.4025,33.14,3.27,ml,57.0,155,,0.12,hv,hv72777822,2022-08-08T08:17:08.294Z,"8 km E of P?hala, Hawaii",earthquake,0.41,0.49,0.20098202579108604,38,reviewed,hv,hv
df_EQ Data.csv,93,7983.0,19.904,-156.8335,7.46,3.64,ml,66.0,194,,0.19,hv,hv72760877,2021-12-25T22:58:46.040Z,"91 km WNW of Kalaoa, Hawaii",earthquake,0.76,0.94,0.18707410345298398,27,reviewed,hv,hv
df_EQ Data.csv,94,7982.0,19.1995,-155.435333333333,35.33,3.29,ml,55.0,137,,0.11,hv,hv72760287,2021-12-25T22:58:44.040Z,"4 km E of P?hala, Hawaii",earthquake,0.41,0.5,0.239059598121337,38,reviewed,hv,hv
df_EQ Data.csv,95,7982.0,19.1871666666667,-155.4835,38.36,3.86,ml,56.0,74,,0.11,hv,hv72759882,2022-02-19T23:31:10.416Z,"1 km SSW of P?hala, Hawaii",earthquake,0.46,0.52,0.215277139985508,42,reviewed,hv,hv
df_EQ Data.csv,96,7980.0,19.2078333333333,-155.3835,31.39,3.6,ml,55.0,163,,0.12,hv,hv72756427,2021-12-25T22:58:35.040Z,"10 km E of P?hala, Hawaii",earthquake,0.54,0.59,0.163320806318795,41,reviewed,hv,hv
df_EQ Data.csv,97,7975.0,18.868,-155.542,35.99,4.26,ml,48.0,268,,0.11,hv,hv72748787,2021-12-18T19:58:49.040Z,"22 km S of Naalehu, Hawaii",earthquake,0.54,0.89,0.0680470559724808,5,reviewed,hv,hv
df_EQ Data.csv,98,7975.0,18.820333333333302,-155.527166666667,35.06,6.21,ml,54.0,278,,0.12,hv,hv72748782,2022-10-10T21:58:53.097Z,"27 km SSE of Naalehu, Hawaii",earthquake,0.52,0.93,0.153984707746698,25,reviewed,hv,hv
df_EQ Data.csv,99,7974.0,19.2231666666667,-155.4145,35.63,3.58,ml,55.0,138,,0.13,hv,hv72747727,2021-12-18T19:58:45.040Z,"7 km ENE of P?hala, Hawaii",earthquake,0.43,0.54,0.17218570432328198,38,reviewed,hv,hv
df_EQ Data.csv,100,7973.0,19.189166666666697,-155.476833333333,34.38,3.5,ml,55.0,84,,0.12,hv,hv72745632,2021-12-18T19:58:37.040Z,"1 km S of P?hala, Hawaii",earthquake,0.39,0.51,0.22758410872949303,38,reviewed,hv,hv
df_EQ Data.csv,101,7971.0,19.207,-155.3965,32.15,3.58,ml,57.0,157,,0.13,hv,hv72742362,2021-12-10T21:14:13.040Z,"8 km E of P?hala, Hawaii",earthquake,0.43,0.51,0.11995658584691,9,reviewed,hv,hv
df_EQ Data.csv,102,7971.0,19.225666666666697,-155.398,32.69,4.55,ml,57.0,145,,0.12,hv,hv72742352,2022-01-19T01:25:27.175Z,"8 km ENE of P?hala, Hawaii",earthquake,0.44,0.48,0.156343368352568,39,reviewed,hv,hv
