,,Date,SITE_LATITUDE,SITE_LONGITUDE,Daily Max 1-hour SO2 Concentration
df_ad_viz_plotval_data (2018).csv,110,4201821.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,111,4201822.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,112,4201823.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,113,4201824.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,114,4201825.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,115,4201826.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,116,4201827.0,19.4308,-155.2578,26.0
df_ad_viz_plotval_data (2018).csv,117,4201828.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,118,4201829.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,119,4201830.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,120,520181.0,19.4308,-155.2578,19.0
df_ad_viz_plotval_data (2018).csv,121,520182.0,19.4308,-155.2578,86.0
df_ad_viz_plotval_data (2018).csv,122,520183.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,123,520184.0,19.4308,-155.2578,185.0
df_ad_viz_plotval_data (2018).csv,124,520185.0,19.4308,-155.2578,41.0
df_ad_viz_plotval_data (2018).csv,125,520186.0,19.4308,-155.2578,31.0
df_ad_viz_plotval_data (2018).csv,126,520187.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,127,520188.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,128,520189.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,129,5201810.0,19.4308,-155.2578,13.0
df_ad_viz_plotval_data (2018).csv,130,5201811.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,131,5201812.0,19.4308,-155.2578,71.0
df_ad_viz_plotval_data (2018).csv,132,5201813.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,133,5201814.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,134,5201815.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,135,5201816.0,19.4308,-155.2578,299.0
df_ad_viz_plotval_data (2018).csv,136,5201817.0,19.4308,-155.2578,183.0
df_ad_viz_plotval_data (2018).csv,137,5201818.0,19.4308,-155.2578,1.0
df_ad_viz_plotval_data (2018).csv,138,5201819.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,139,5201820.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,140,5201821.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,141,5201822.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,142,5201823.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,143,5201824.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,144,5201825.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,145,5201826.0,19.4308,-155.2578,303.0
df_ad_viz_plotval_data (2018).csv,146,5201827.0,19.4308,-155.2578,3.0
df_ad_viz_plotval_data (2018).csv,147,5201828.0,19.4308,-155.2578,247.0
df_ad_viz_plotval_data (2018).csv,148,5201829.0,19.4308,-155.2578,142.0
df_ad_viz_plotval_data (2018).csv,149,5201830.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,150,5201831.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,151,620181.0,19.4308,-155.2578,1.0
df_ad_viz_plotval_data (2018).csv,152,620182.0,19.4308,-155.2578,1108.0
df_ad_viz_plotval_data (2018).csv,153,620183.0,19.4308,-155.2578,548.0
df_ad_viz_plotval_data (2018).csv,154,620184.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,155,620185.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,156,620186.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,157,620187.0,19.4308,-155.2578,279.0
df_ad_viz_plotval_data (2018).csv,158,620188.0,19.4308,-155.2578,120.0
df_ad_viz_plotval_data (2018).csv,159,620189.0,19.4308,-155.2578,215.0
df_ad_viz_plotval_data (2018).csv,160,6201810.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,161,6201811.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,162,6201812.0,19.4308,-155.2578,28.0
df_ad_viz_plotval_data (2018).csv,163,6201813.0,19.4308,-155.2578,315.0
df_ad_viz_plotval_data (2018).csv,164,6201814.0,19.4308,-155.2578,229.0
df_ad_viz_plotval_data (2018).csv,165,6201815.0,19.4308,-155.2578,1123.0
df_ad_viz_plotval_data (2018).csv,166,6201816.0,19.4308,-155.2578,178.0
df_ad_viz_plotval_data (2018).csv,167,6201817.0,19.4308,-155.2578,9.0
df_ad_viz_plotval_data (2018).csv,168,6201818.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,169,6201819.0,19.4308,-155.2578,505.0
df_ad_viz_plotval_data (2018).csv,170,6201820.0,19.4308,-155.2578,969.0
df_ad_viz_plotval_data (2018).csv,171,6201821.0,19.4308,-155.2578,273.0
df_ad_viz_plotval_data (2018).csv,172,6201822.0,19.4308,-155.2578,113.0
df_ad_viz_plotval_data (2018).csv,173,6201823.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,174,6201824.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,175,6201825.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,176,6201826.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,177,6201827.0,19.4308,-155.2578,37.0
df_ad_viz_plotval_data (2018).csv,178,6201828.0,19.4308,-155.2578,193.0
df_ad_viz_plotval_data (2018).csv,179,6201829.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,180,6201830.0,19.4308,-155.2578,87.0
df_ad_viz_plotval_data (2018).csv,181,720181.0,19.4308,-155.2578,490.0
df_ad_viz_plotval_data (2018).csv,182,720182.0,19.4308,-155.2578,976.0
df_ad_viz_plotval_data (2018).csv,183,720183.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,184,720184.0,19.4308,-155.2578,331.0
df_ad_viz_plotval_data (2018).csv,185,720185.0,19.4308,-155.2578,8.0
df_ad_viz_plotval_data (2018).csv,186,720186.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,187,720187.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,188,720188.0,19.4308,-155.2578,78.0
df_ad_viz_plotval_data (2018).csv,189,720189.0,19.4308,-155.2578,62.0
df_ad_viz_plotval_data (2018).csv,190,7201810.0,19.4308,-155.2578,75.0
df_ad_viz_plotval_data (2018).csv,191,7201811.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,192,7201812.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,193,7201813.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,194,7201814.0,19.4308,-155.2578,1055.0
df_ad_viz_plotval_data (2018).csv,195,7201815.0,19.4308,-155.2578,590.0
df_ad_viz_plotval_data (2018).csv,196,7201816.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,197,7201817.0,19.4308,-155.2578,41.0
df_ad_viz_plotval_data (2018).csv,198,7201818.0,19.4308,-155.2578,24.0
df_ad_viz_plotval_data (2018).csv,199,7201819.0,19.4308,-155.2578,152.0
df_ad_viz_plotval_data (2018).csv,200,7201820.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,201,7201821.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,202,7201822.0,19.4308,-155.2578,762.0
df_ad_viz_plotval_data (2018).csv,203,7201823.0,19.4308,-155.2578,1806.0
df_ad_viz_plotval_data (2018).csv,204,7201824.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,205,7201825.0,19.4308,-155.2578,331.0
df_ad_viz_plotval_data (2018).csv,206,7201826.0,19.4308,-155.2578,526.0
df_ad_viz_plotval_data (2018).csv,207,7201827.0,19.4308,-155.2578,586.0
df_ad_viz_plotval_data (2018).csv,208,7201828.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,209,7201829.0,19.4308,-155.2578,107.0
df_ad_viz_plotval_data (2018).csv,210,7201830.0,19.4308,-155.2578,377.0
df_ad_viz_plotval_data (2018).csv,211,7201831.0,19.4308,-155.2578,35.0
df_ad_viz_plotval_data (2018).csv,212,820181.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,213,820182.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,214,820183.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,215,820184.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,216,820185.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,217,820186.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,218,820187.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,219,820188.0,19.4308,-155.2578,0.0
